Category: All categories

Week,Air conditioner: (United States)
2018-01-07,4
2018-01-14,4
2018-01-21,4
2018-01-28,4
2018-02-04,5
2018-02-11,5
2018-02-18,7
2018-02-25,7
2018-03-04,6
2018-03-11,7
2018-03-18,8
2018-03-25,9
2018-04-01,10
2018-04-08,14
2018-04-15,11
2018-04-22,14
2018-04-29,36
2018-05-06,30
2018-05-13,30
2018-05-20,42
2018-05-27,70
2018-06-03,38
2018-06-10,40
2018-06-17,58
2018-06-24,52
2018-07-01,100
2018-07-08,57
2018-07-15,46
2018-07-22,42
2018-07-29,35
2018-08-05,43
2018-08-12,26
2018-08-19,19
2018-08-26,20
2018-09-02,23
2018-09-09,13
2018-09-16,13
2018-09-23,9
2018-09-30,9
2018-10-07,9
2018-10-14,7
2018-10-21,6
2018-10-28,5
2018-11-04,6
2018-11-11,6
2018-11-18,4
2018-11-25,4
2018-12-02,4
2018-12-09,4
2018-12-16,4
2018-12-23,4
2018-12-30,4
2019-01-06,4
2019-01-13,4
2019-01-20,4
2019-01-27,5
2019-02-03,6
2019-02-10,5
2019-02-17,6
2019-02-24,6
2019-03-03,6
2019-03-10,8
2019-03-17,9
2019-03-24,10
2019-03-31,11
2019-04-07,17
2019-04-14,16
2019-04-21,21
2019-04-28,19
2019-05-05,20
2019-05-12,21
2019-05-19,43
2019-05-26,47
2019-06-02,42
2019-06-09,48
2019-06-16,37
2019-06-23,64
2019-06-30,75
2019-07-07,51
2019-07-14,69
2019-07-21,51
2019-07-28,37
2019-08-04,26
2019-08-11,24
2019-08-18,23
2019-08-25,18
2019-09-01,18
2019-09-08,15
2019-09-15,13
2019-09-22,12
2019-09-29,10
2019-10-06,8
2019-10-13,7
2019-10-20,7
2019-10-27,7
2019-11-03,6
2019-11-10,6
2019-11-17,5
2019-11-24,5
2019-12-01,5
2019-12-08,5
2019-12-15,5
2019-12-22,5
2019-12-29,5
2020-01-05,6
2020-01-12,6
2020-01-19,6
2020-01-26,5
2020-02-02,6
2020-02-09,6
2020-02-16,7
2020-02-23,7
2020-03-01,7
2020-03-08,8
2020-03-15,9
2020-03-22,12
2020-03-29,10
2020-04-05,14
2020-04-12,12
2020-04-19,21
2020-04-26,27
2020-05-03,27
2020-05-10,29
2020-05-17,38
2020-05-24,99
2020-05-31,62
2020-06-07,62
2020-06-14,45
2020-06-21,65
2020-06-28,67
2020-07-05,91
2020-07-12,66
2020-07-19,66
2020-07-26,57
2020-08-02,35
2020-08-09,44
2020-08-16,50
2020-08-23,36
2020-08-30,24
2020-09-06,28
2020-09-13,14
2020-09-20,11
2020-09-27,12
2020-10-04,11
2020-10-11,12
2020-10-18,11
2020-10-25,9
2020-11-01,7
2020-11-08,8
2020-11-15,7
2020-11-22,7
2020-11-29,7
2020-12-06,7
2020-12-13,6
2020-12-20,6
2020-12-27,6
2021-01-03,7
2021-01-10,7
2021-01-17,7
2021-01-24,7
2021-01-31,7
2021-02-07,7
2021-02-14,9
2021-02-21,10
2021-02-28,11
2021-03-07,12
2021-03-14,13
2021-03-21,14
2021-03-28,18
2021-04-04,23
2021-04-11,18
2021-04-18,17
2021-04-25,26
2021-05-02,26
2021-05-09,20
2021-05-16,55
2021-05-23,62
2021-05-30,52
2021-06-06,97
2021-06-13,68
2021-06-20,60
2021-06-27,91
2021-07-04,50
2021-07-11,44
2021-07-18,41
2021-07-25,45
2021-08-01,30
2021-08-08,41
2021-08-15,30
2021-08-22,38
2021-08-29,23
2021-09-05,20
2021-09-12,16
2021-09-19,14
2021-09-26,12
2021-10-03,12
2021-10-10,11
2021-10-17,11
2021-10-24,11
2021-10-31,11
2021-11-07,10
2021-11-14,8
2021-11-21,8
2021-11-28,8
2021-12-05,7
2021-12-12,6
2021-12-19,6
2021-12-26,7
2022-01-02,7
2022-01-09,6
2022-01-16,6
2022-01-23,7
2022-01-30,6
2022-02-06,7
2022-02-13,8
2022-02-20,9
2022-02-27,9
2022-03-06,11
2022-03-13,12
2022-03-20,14
2022-03-27,12
2022-04-03,15
2022-04-10,16
2022-04-17,15
2022-04-24,20
2022-05-01,22
2022-05-08,48
2022-05-15,53
2022-05-22,41
2022-05-29,50
2022-06-05,38
2022-06-12,75
2022-06-19,59
2022-06-26,58
2022-07-03,50
2022-07-10,48
2022-07-17,68
2022-07-24,54
2022-07-31,43
2022-08-07,41
2022-08-14,25
2022-08-21,22
2022-08-28,28
2022-09-04,36
2022-09-11,15
2022-09-18,13
2022-09-25,11
2022-10-02,10
2022-10-09,9
2022-10-16,8
2022-10-23,7
2022-10-30,6
2022-11-06,6
2022-11-13,7
2022-11-20,7
2022-11-27,6
2022-12-04,5
2022-12-11,5
2022-12-18,6
2022-12-25,6
