Category: All categories

Week,furnace: (United States)
2018-02-18,31
2018-02-25,27
2018-03-04,33
2018-03-11,27
2018-03-18,26
2018-03-25,26
2018-04-01,28
2018-04-08,24
2018-04-15,25
2018-04-22,20
2018-04-29,22
2018-05-06,21
2018-05-13,19
2018-05-20,20
2018-05-27,26
2018-06-03,19
2018-06-10,20
2018-06-17,20
2018-06-24,21
2018-07-01,22
2018-07-08,21
2018-07-15,21
2018-07-22,21
2018-07-29,20
2018-08-05,22
2018-08-12,21
2018-08-19,20
2018-08-26,20
2018-09-02,21
2018-09-09,29
2018-09-16,22
2018-09-23,30
2018-09-30,32
2018-10-07,46
2018-10-14,66
2018-10-21,51
2018-10-28,36
2018-11-04,48
2018-11-11,68
2018-11-18,44
2018-11-25,43
2018-12-02,44
2018-12-09,44
2018-12-16,36
2018-12-23,45
2018-12-30,43
2019-01-06,40
2019-01-13,44
2019-01-20,64
2019-01-27,75
2019-02-03,44
2019-02-10,40
2019-02-17,39
2019-02-24,37
2019-03-03,41
2019-03-10,29
2019-03-17,27
2019-03-24,27
2019-03-31,28
2019-04-07,24
2019-04-14,23
2019-04-21,25
2019-04-28,27
2019-05-05,24
2019-05-12,23
2019-05-19,26
2019-05-26,27
2019-06-02,25
2019-06-09,24
2019-06-16,24
2019-06-23,25
2019-06-30,28
2019-07-07,27
2019-07-14,28
2019-07-21,27
2019-07-28,27
2019-08-04,26
2019-08-11,25
2019-08-18,25
2019-08-25,27
2019-09-01,25
2019-09-08,25
2019-09-15,26
2019-09-22,27
2019-09-29,37
2019-10-06,49
2019-10-13,58
2019-10-20,42
2019-10-27,57
2019-11-03,60
2019-11-10,61
2019-11-17,44
2019-11-24,42
2019-12-01,48
2019-12-08,41
2019-12-15,48
2019-12-22,35
2019-12-29,42
2020-01-05,42
2020-01-12,41
2020-01-19,50
2020-01-26,35
2020-02-02,36
2020-02-09,40
2020-02-16,38
2020-02-23,33
2020-03-01,28
2020-03-08,28
2020-03-15,28
2020-03-22,27
2020-03-29,27
2020-04-05,27
2020-04-12,28
2020-04-19,28
2020-04-26,24
2020-05-03,27
2020-05-10,26
2020-05-17,25
2020-05-24,30
2020-05-31,25
2020-06-07,26
2020-06-14,24
2020-06-21,25
2020-06-28,28
2020-07-05,29
2020-07-12,26
2020-07-19,27
2020-07-26,26
2020-08-02,26
2020-08-09,26
2020-08-16,27
2020-08-23,25
2020-08-30,24
2020-09-06,38
2020-09-13,31
2020-09-20,34
2020-09-27,36
2020-10-04,41
2020-10-11,39
2020-10-18,52
2020-10-25,64
2020-11-01,37
2020-11-08,43
2020-11-15,49
2020-11-22,44
2020-11-29,58
2020-12-06,48
2020-12-13,53
2020-12-20,52
2020-12-27,53
2021-01-03,45
2021-01-10,47
2021-01-17,46
2021-01-24,56
2021-01-31,54
2021-02-07,64
2021-02-14,76
2021-02-21,43
2021-02-28,39
2021-03-07,33
2021-03-14,37
2021-03-21,29
2021-03-28,36
2021-04-04,32
2021-04-11,31
2021-04-18,32
2021-04-25,30
2021-05-02,30
2021-05-09,30
2021-05-16,30
2021-05-23,33
2021-05-30,33
2021-06-06,31
2021-06-13,32
2021-06-20,31
2021-06-27,31
2021-07-04,26
2021-07-11,26
2021-07-18,30
2021-07-25,30
2021-08-01,25
2021-08-08,26
2021-08-15,29
2021-08-22,37
2021-08-29,32
2021-09-05,33
2021-09-12,34
2021-09-19,40
2021-09-26,41
2021-10-03,36
2021-10-10,38
2021-10-17,52
2021-10-24,59
2021-10-31,62
2021-11-07,49
2021-11-14,57
2021-11-21,57
2021-11-28,46
2021-12-05,50
2021-12-12,39
2021-12-19,46
2021-12-26,48
2022-01-02,72
2022-01-09,66
2022-01-16,61
2022-01-23,65
2022-01-30,63
2022-02-06,43
2022-02-13,47
2022-02-20,51
2022-02-27,39
2022-03-06,42
2022-03-13,31
2022-03-20,34
2022-03-27,39
2022-04-03,30
2022-04-10,29
2022-04-17,26
2022-04-24,26
2022-05-01,24
2022-05-08,28
2022-05-15,25
2022-05-22,24
2022-05-29,26
2022-06-05,25
2022-06-12,28
2022-06-19,30
2022-06-26,27
2022-07-03,27
2022-07-10,27
2022-07-17,28
2022-07-24,27
2022-07-31,29
2022-08-07,26
2022-08-14,26
2022-08-21,27
2022-08-28,27
2022-09-04,25
2022-09-11,28
2022-09-18,34
2022-09-25,46
2022-10-02,48
2022-10-09,47
2022-10-16,59
2022-10-23,43
2022-10-30,34
2022-11-06,46
2022-11-13,73
2022-11-20,55
2022-11-27,49
2022-12-04,46
2022-12-11,52
2022-12-18,100
2022-12-25,71
2023-01-01,47
2023-01-08,47
2023-01-15,46
2023-01-22,49
2023-01-29,57
2023-02-05,41
2023-02-12,34
