Category: All categories

Week,"""heat pump"": (United States)"
2018-02-18,27
2018-02-25,24
2018-03-04,26
2018-03-11,24
2018-03-18,24
2018-03-25,22
2018-04-01,24
2018-04-08,26
2018-04-15,26
2018-04-22,21
2018-04-29,29
2018-05-06,31
2018-05-13,34
2018-05-20,29
2018-05-27,32
2018-06-03,27
2018-06-10,28
2018-06-17,31
2018-06-24,28
2018-07-01,33
2018-07-08,29
2018-07-15,27
2018-07-22,26
2018-07-29,27
2018-08-05,25
2018-08-12,23
2018-08-19,23
2018-08-26,22
2018-09-02,21
2018-09-09,21
2018-09-16,21
2018-09-23,20
2018-09-30,22
2018-10-07,23
2018-10-14,29
2018-10-21,30
2018-10-28,27
2018-11-04,27
2018-11-11,44
2018-11-18,28
2018-11-25,33
2018-12-02,35
2018-12-09,40
2018-12-16,23
2018-12-23,26
2018-12-30,32
2019-01-06,28
2019-01-13,38
2019-01-20,41
2019-01-27,40
2019-02-03,31
2019-02-10,30
2019-02-17,31
2019-02-24,26
2019-03-03,31
2019-03-10,27
2019-03-17,23
2019-03-24,26
2019-03-31,23
2019-04-07,28
2019-04-14,24
2019-04-21,24
2019-04-28,28
2019-05-05,27
2019-05-12,27
2019-05-19,32
2019-05-26,31
2019-06-02,29
2019-06-09,29
2019-06-16,28
2019-06-23,29
2019-06-30,33
2019-07-07,30
2019-07-14,32
2019-07-21,30
2019-07-28,28
2019-08-04,25
2019-08-11,23
2019-08-18,27
2019-08-25,25
2019-09-01,22
2019-09-08,21
2019-09-15,21
2019-09-22,22
2019-09-29,25
2019-10-06,24
2019-10-13,29
2019-10-20,27
2019-10-27,30
2019-11-03,36
2019-11-10,43
2019-11-17,29
2019-11-24,25
2019-12-01,28
2019-12-08,27
2019-12-15,32
2019-12-22,23
2019-12-29,26
2020-01-05,27
2020-01-12,29
2020-01-19,36
2020-01-26,29
2020-02-02,28
2020-02-09,29
2020-02-16,29
2020-02-23,25
2020-03-01,25
2020-03-08,23
2020-03-15,22
2020-03-22,22
2020-03-29,23
2020-04-05,22
2020-04-12,23
2020-04-19,23
2020-04-26,24
2020-05-03,28
2020-05-10,28
2020-05-17,31
2020-05-24,38
2020-05-31,35
2020-06-07,34
2020-06-14,28
2020-06-21,29
2020-06-28,29
2020-07-05,35
2020-07-12,33
2020-07-19,36
2020-07-26,34
2020-08-02,29
2020-08-09,30
2020-08-16,27
2020-08-23,28
2020-08-30,25
2020-09-06,27
2020-09-13,26
2020-09-20,25
2020-09-27,25
2020-10-04,27
2020-10-11,28
2020-10-18,29
2020-10-25,33
2020-11-01,26
2020-11-08,27
2020-11-15,33
2020-11-22,27
2020-11-29,39
2020-12-06,34
2020-12-13,40
2020-12-20,36
2020-12-27,34
2021-01-03,34
2021-01-10,37
2021-01-17,34
2021-01-24,42
2021-01-31,51
2021-02-07,59
2021-02-14,87
2021-02-21,46
2021-02-28,43
2021-03-07,37
2021-03-14,43
2021-03-21,41
2021-03-28,43
2021-04-04,45
2021-04-11,41
2021-04-18,41
2021-04-25,44
2021-05-02,41
2021-05-09,42
2021-05-16,45
2021-05-23,51
2021-05-30,47
2021-06-06,48
2021-06-13,54
2021-06-20,50
2021-06-27,61
2021-07-04,34
2021-07-11,33
2021-07-18,33
2021-07-25,33
2021-08-01,30
2021-08-08,34
2021-08-15,32
2021-08-22,44
2021-08-29,42
2021-09-05,42
2021-09-12,43
2021-09-19,41
2021-09-26,44
2021-10-03,41
2021-10-10,28
2021-10-17,33
2021-10-24,35
2021-10-31,46
2021-11-07,42
2021-11-14,41
2021-11-21,40
2021-11-28,39
2021-12-05,33
2021-12-12,30
2021-12-19,33
2021-12-26,30
2022-01-02,55
2022-01-09,47
2022-01-16,53
2022-01-23,55
2022-01-30,56
2022-02-06,41
2022-02-13,40
2022-02-20,44
2022-02-27,39
2022-03-06,46
2022-03-13,45
2022-03-20,45
2022-03-27,47
2022-04-03,41
2022-04-10,44
2022-04-17,37
2022-04-24,38
2022-05-01,35
2022-05-08,43
2022-05-15,39
2022-05-22,38
2022-05-29,39
2022-06-05,38
2022-06-12,48
2022-06-19,43
2022-06-26,40
2022-07-03,39
2022-07-10,39
2022-07-17,49
2022-07-24,49
2022-07-31,44
2022-08-07,50
2022-08-14,46
2022-08-21,43
2022-08-28,39
2022-09-04,40
2022-09-11,38
2022-09-18,37
2022-09-25,38
2022-10-02,38
2022-10-09,37
2022-10-16,46
2022-10-23,38
2022-10-30,35
2022-11-06,37
2022-11-13,58
2022-11-20,45
2022-11-27,40
2022-12-04,40
2022-12-11,46
2022-12-18,100
2022-12-25,73
2023-01-01,49
2023-01-08,51
2023-01-15,48
2023-01-22,53
2023-01-29,59
2023-02-05,51
