Category: All categories

Week,heat pump: (United States)
2018-01-07,40
2018-01-14,45
2018-01-21,29
2018-01-28,29
2018-02-04,32
2018-02-11,27
2018-02-18,28
2018-02-25,25
2018-03-04,27
2018-03-11,25
2018-03-18,25
2018-03-25,22
2018-04-01,25
2018-04-08,26
2018-04-15,27
2018-04-22,21
2018-04-29,29
2018-05-06,31
2018-05-13,34
2018-05-20,29
2018-05-27,32
2018-06-03,27
2018-06-10,28
2018-06-17,31
2018-06-24,27
2018-07-01,32
2018-07-08,29
2018-07-15,27
2018-07-22,27
2018-07-29,27
2018-08-05,25
2018-08-12,23
2018-08-19,22
2018-08-26,23
2018-09-02,22
2018-09-09,21
2018-09-16,21
2018-09-23,21
2018-09-30,22
2018-10-07,23
2018-10-14,29
2018-10-21,30
2018-10-28,27
2018-11-04,27
2018-11-11,44
2018-11-18,28
2018-11-25,34
2018-12-02,35
2018-12-09,40
2018-12-16,24
2018-12-23,27
2018-12-30,32
2019-01-06,28
2019-01-13,38
2019-01-20,42
2019-01-27,39
2019-02-03,31
2019-02-10,30
2019-02-17,31
2019-02-24,26
2019-03-03,30
2019-03-10,26
2019-03-17,23
2019-03-24,26
2019-03-31,23
2019-04-07,28
2019-04-14,26
2019-04-21,25
2019-04-28,27
2019-05-05,27
2019-05-12,27
2019-05-19,32
2019-05-26,31
2019-06-02,29
2019-06-09,29
2019-06-16,28
2019-06-23,29
2019-06-30,33
2019-07-07,29
2019-07-14,32
2019-07-21,30
2019-07-28,27
2019-08-04,25
2019-08-11,23
2019-08-18,26
2019-08-25,25
2019-09-01,24
2019-09-08,20
2019-09-15,22
2019-09-22,21
2019-09-29,26
2019-10-06,25
2019-10-13,29
2019-10-20,28
2019-10-27,30
2019-11-03,36
2019-11-10,42
2019-11-17,30
2019-11-24,25
2019-12-01,29
2019-12-08,28
2019-12-15,32
2019-12-22,24
2019-12-29,26
2020-01-05,28
2020-01-12,29
2020-01-19,36
2020-01-26,30
2020-02-02,28
2020-02-09,30
2020-02-16,28
2020-02-23,26
2020-03-01,25
2020-03-08,23
2020-03-15,22
2020-03-22,22
2020-03-29,23
2020-04-05,23
2020-04-12,23
2020-04-19,22
2020-04-26,25
2020-05-03,29
2020-05-10,28
2020-05-17,30
2020-05-24,38
2020-05-31,34
2020-06-07,34
2020-06-14,28
2020-06-21,29
2020-06-28,29
2020-07-05,35
2020-07-12,33
2020-07-19,35
2020-07-26,34
2020-08-02,29
2020-08-09,30
2020-08-16,27
2020-08-23,28
2020-08-30,25
2020-09-06,27
2020-09-13,26
2020-09-20,25
2020-09-27,25
2020-10-04,27
2020-10-11,29
2020-10-18,30
2020-10-25,33
2020-11-01,26
2020-11-08,27
2020-11-15,33
2020-11-22,27
2020-11-29,38
2020-12-06,34
2020-12-13,39
2020-12-20,36
2020-12-27,33
2021-01-03,34
2021-01-10,36
2021-01-17,34
2021-01-24,41
2021-01-31,51
2021-02-07,60
2021-02-14,87
2021-02-21,47
2021-02-28,44
2021-03-07,37
2021-03-14,44
2021-03-21,41
2021-03-28,42
2021-04-04,44
2021-04-11,41
2021-04-18,40
2021-04-25,43
2021-05-02,41
2021-05-09,42
2021-05-16,44
2021-05-23,50
2021-05-30,46
2021-06-06,48
2021-06-13,54
2021-06-20,49
2021-06-27,59
2021-07-04,34
2021-07-11,32
2021-07-18,32
2021-07-25,33
2021-08-01,30
2021-08-08,33
2021-08-15,32
2021-08-22,43
2021-08-29,42
2021-09-05,41
2021-09-12,43
2021-09-19,40
2021-09-26,43
2021-10-03,40
2021-10-10,28
2021-10-17,33
2021-10-24,34
2021-10-31,46
2021-11-07,42
2021-11-14,41
2021-11-21,40
2021-11-28,39
2021-12-05,32
2021-12-12,30
2021-12-19,33
2021-12-26,29
2022-01-02,53
2022-01-09,48
2022-01-16,53
2022-01-23,56
2022-01-30,56
2022-02-06,41
2022-02-13,40
2022-02-20,44
2022-02-27,39
2022-03-06,46
2022-03-13,44
2022-03-20,45
2022-03-27,47
2022-04-03,41
2022-04-10,43
2022-04-17,38
2022-04-24,38
2022-05-01,35
2022-05-08,42
2022-05-15,39
2022-05-22,38
2022-05-29,39
2022-06-05,38
2022-06-12,48
2022-06-19,43
2022-06-26,39
2022-07-03,38
2022-07-10,40
2022-07-17,50
2022-07-24,49
2022-07-31,44
2022-08-07,50
2022-08-14,46
2022-08-21,43
2022-08-28,39
2022-09-04,42
2022-09-11,40
2022-09-18,36
2022-09-25,40
2022-10-02,38
2022-10-09,37
2022-10-16,45
2022-10-23,39
2022-10-30,35
2022-11-06,37
2022-11-13,58
2022-11-20,45
2022-11-27,41
2022-12-04,41
2022-12-11,46
2022-12-18,100
2022-12-25,72
